Badge,Title,Issuer,Date,Skills,CredentialLink
MICROSOFT CERTIFIED,Microsoft Power BI Data Analyst Associate (PL-300),Microsoft,Dec 2025,Power BI;Data Collection;Python;DAX,https://www.linkedin.com/in/jaypatel1298/
COMPTIA CERTIFIED,CompTIA A+ Core 1 (220-1101),CompTIA,Jan 2026,IT Hardware Support;Network Troubleshooting,https://www.linkedin.com/in/jaypatel1298/
LINKEDIN / COMPTIA,The CompTIA Data+ (DA0-001),LinkedIn & CompTIA,Nov 2025,Data Analysis;Data Analytics;Data Mining,https://www.linkedin.com/in/jaypatel1298/
LINKEDIN LEARNING,Data Engineering Foundations,LinkedIn,Jul 2023,Data Engineering;ETL;Pipelines,https://www.linkedin.com/in/jaypatel1298/
HACKERRANK CERTIFIED,SQL (Advanced) Certificate,HackerRank,Dec 2022,SQL;Advanced Queries;Window Functions,https://www.linkedin.com/in/jaypatel1298/
HACKERRANK CERTIFIED,SQL (Intermediate) Certificate,HackerRank,Dec 2022,SQL;Joins & CTEs;Subqueries,https://www.linkedin.com/in/jaypatel1298/
HACKERRANK CERTIFIED,SQL (Basic) Certificate,HackerRank,Dec 2022,SQL;Relational Queries,https://www.linkedin.com/in/jaypatel1298/
CODEBASICS CERTIFIED,Get Job Ready: Power BI Data Analytics,Codebasics,Nov 2022,Analytical Skills;Power BI;Data Analytics,https://www.linkedin.com/in/jaypatel1298/
CODEBASICS CERTIFIED,SQL Beginner to Advanced,Codebasics,Dec 2022,SQL;Data Analytics;Data Professionals,https://www.linkedin.com/in/jaypatel1298/
CODEBASICS CERTIFIED,Python For Data Analytics,Codebasics,Jan 2023,Python;Data Structures,https://www.linkedin.com/in/jaypatel1298/
COURSERA CERTIFIED,Applied Data Science & Python AI,Coursera,Jan 2021,Analytical Skills;Data Analytics;Python AI,https://www.linkedin.com/in/jaypatel1298/
